"year","period","periodName","value","seriesID"
"2016","M12","December","10.7","LAUCN040010000000003"
"2016","M11","November","10.5","LAUCN040010000000003"
"2016","M10","October","11.1","LAUCN040010000000003"
"2016","M09","September","11.0","LAUCN040010000000003"
"2016","M08","August","11.8","LAUCN040010000000003"
"2016","M07","July","12.4","LAUCN040010000000003"
"2016","M06","June","11.7","LAUCN040010000000003"
"2016","M05","May","10.2","LAUCN040010000000003"
"2016","M04","April","10.7","LAUCN040010000000003"
"2016","M03","March","11.4","LAUCN040010000000003"
"2016","M02","February","11.8","LAUCN040010000000003"
"2016","M01","January","12.5","LAUCN040010000000003"
"2015","M12","December","12.4","LAUCN040010000000003"
"2015","M11","November","12.1","LAUCN040010000000003"
"2015","M10","October","12.2","LAUCN040010000000003"
"2015","M09","September","12.4","LAUCN040010000000003"
"2015","M08","August","13.1","LAUCN040010000000003"
"2015","M07","July","14.6","LAUCN040010000000003"
"2015","M06","June","13.7","LAUCN040010000000003"
"2015","M05","May","13.1","LAUCN040010000000003"
"2015","M04","April","12.8","LAUCN040010000000003"
"2015","M03","March","13.5","LAUCN040010000000003"
"2015","M02","February","14.1","LAUCN040010000000003"
"2015","M01","January","14.7","LAUCN040010000000003"
"2014","M12","December","14.2","LAUCN040010000000003"
"2014","M11","November","13.9","LAUCN040010000000003"
"2014","M10","October","14.3","LAUCN040010000000003"
"2014","M09","September","14.7","LAUCN040010000000003"
"2014","M08","August","15.5","LAUCN040010000000003"
"2014","M07","July","16.8","LAUCN040010000000003"
"2014","M06","June","16.1","LAUCN040010000000003"
"2014","M05","May","15.4","LAUCN040010000000003"
"2014","M04","April","15.2","LAUCN040010000000003"
"2014","M03","March","16.6","LAUCN040010000000003"
"2014","M02","February","17.1","LAUCN040010000000003"
"2014","M01","January","17.8","LAUCN040010000000003"
"2013","M12","December","17.8","LAUCN040010000000003"
"2013","M11","November","18.2","LAUCN040010000000003"
"2013","M10","October","18.7","LAUCN040010000000003"
"2013","M09","September","17.7","LAUCN040010000000003"
"2013","M08","August","18.2","LAUCN040010000000003"
"2013","M07","July","19.8","LAUCN040010000000003"
"2013","M06","June","19.2","LAUCN040010000000003"
"2013","M05","May","17.7","LAUCN040010000000003"
"2013","M04","April","17.8","LAUCN040010000000003"
"2013","M03","March","18.1","LAUCN040010000000003"
"2013","M02","February","18.4","LAUCN040010000000003"
"2013","M01","January","19.1","LAUCN040010000000003"
"2012","M12","December","18.3","LAUCN040010000000003"
"2012","M11","November","17.9","LAUCN040010000000003"
"2012","M10","October","18.4","LAUCN040010000000003"
"2012","M09","September","18.1","LAUCN040010000000003"
"2012","M08","August","19.6","LAUCN040010000000003"
"2012","M07","July","21.0","LAUCN040010000000003"
"2012","M06","June","20.0","LAUCN040010000000003"
"2012","M05","May","18.7","LAUCN040010000000003"
"2012","M04","April","18.5","LAUCN040010000000003"
"2012","M03","March","18.6","LAUCN040010000000003"
"2012","M02","February","18.9","LAUCN040010000000003"
"2012","M01","January","19.4","LAUCN040010000000003"
"2011","M12","December","18.5","LAUCN040010000000003"
"2011","M11","November","18.0","LAUCN040010000000003"
"2011","M10","October","18.9","LAUCN040010000000003"
"2011","M09","September","19.2","LAUCN040010000000003"
"2011","M08","August","19.5","LAUCN040010000000003"
"2011","M07","July","20.7","LAUCN040010000000003"
"2011","M06","June","20.0","LAUCN040010000000003"
"2011","M05","May","16.9","LAUCN040010000000003"
"2011","M04","April","17.5","LAUCN040010000000003"
"2011","M03","March","17.2","LAUCN040010000000003"
"2011","M02","February","17.3","LAUCN040010000000003"
"2011","M01","January","17.5","LAUCN040010000000003"
"2010","M12","December","15.5","LAUCN040010000000003"
"2010","M11","November","15.7","LAUCN040010000000003"
"2010","M10","October","15.6","LAUCN040010000000003"
"2010","M09","September","15.5","LAUCN040010000000003"
"2010","M08","August","16.7","LAUCN040010000000003"
"2010","M07","July","17.3","LAUCN040010000000003"
"2010","M06","June","16.5","LAUCN040010000000003"
"2010","M05","May","15.3","LAUCN040010000000003"
"2010","M04","April","15.8","LAUCN040010000000003"
"2010","M03","March","17.0","LAUCN040010000000003"
"2010","M02","February","18.0","LAUCN040010000000003"
"2010","M01","January","18.0","LAUCN040010000000003"
"2016","M12","December","6.5","LAUCN040070000000003"
"2016","M11","November","6.6","LAUCN040070000000003"
"2016","M10","October","6.9","LAUCN040070000000003"
"2016","M09","September","6.9","LAUCN040070000000003"
"2016","M08","August","7.3","LAUCN040070000000003"
"2016","M07","July","7.4","LAUCN040070000000003"
"2016","M06","June","7.4","LAUCN040070000000003"
"2016","M05","May","6.6","LAUCN040070000000003"
"2016","M04","April","7.1","LAUCN040070000000003"
"2016","M03","March","7.5","LAUCN040070000000003"
"2016","M02","February","7.7","LAUCN040070000000003"
"2016","M01","January","8.1","LAUCN040070000000003"
"2015","M12","December","7.6","LAUCN040070000000003"
"2015","M11","November","7.6","LAUCN040070000000003"
"2015","M10","October","7.7","LAUCN040070000000003"
"2015","M09","September","7.7","LAUCN040070000000003"
"2015","M08","August","8.0","LAUCN040070000000003"
"2015","M07","July","8.1","LAUCN040070000000003"
"2015","M06","June","7.7","LAUCN040070000000003"
"2015","M05","May","7.5","LAUCN040070000000003"
"2015","M04","April","7.5","LAUCN040070000000003"
"2015","M03","March","7.9","LAUCN040070000000003"
"2015","M02","February","8.2","LAUCN040070000000003"
"2015","M01","January","8.7","LAUCN040070000000003"
"2014","M12","December","7.9","LAUCN040070000000003"
"2014","M11","November","7.8","LAUCN040070000000003"
"2014","M10","October","7.8","LAUCN040070000000003"
"2014","M09","September","8.0","LAUCN040070000000003"
"2014","M08","August","8.3","LAUCN040070000000003"
"2014","M07","July","8.4","LAUCN040070000000003"
"2014","M06","June","8.3","LAUCN040070000000003"
"2014","M05","May","8.0","LAUCN040070000000003"
"2014","M04","April","8.0","LAUCN040070000000003"
"2014","M03","March","8.7","LAUCN040070000000003"
"2014","M02","February","9.1","LAUCN040070000000003"
"2014","M01","January","9.4","LAUCN040070000000003"
